name,lat,lon,timezone
PSKT,5.879731,118.05251,Singapore Standard Time
HSTW,4.2504,117.8791,Singapore Standard Time
COWI,4.243771,117.88585,Singapore Standard Time
TRAW,5.894978,116.066848,Singapore Standard Time
MYIN,5.026304,118.295436,Singapore Standard Time
BENO,5.699769,115.9276,Singapore Standard Time
JMJD,4.249113,117.88826,Singapore Standard Time
ARTI,5.863987,116.046401,Singapore Standard Time
BLVM,4.41497,114.01291,Singapore Standard Time
UTMY,4.247666,117.89253,Singapore Standard Time
TWNA,4.315274,118.11523,Singapore Standard Time
JMWA,4.252855,117.887941,Singapore Standard Time
HEBP,4.246445,117.88334,Singapore Standard Time
RPSA,5.804192,116.027251,Singapore Standard Time
KKPK,5.03254,118.33881,Singapore Standard Time
JTWA,4.245049,117.895594,Singapore Standard Time
TMFJ,5.028826,118.326096,Singapore Standard Time
MJKR,5.734935,115.931913,Singapore Standard Time
INOB,5.90201,116.13267,Singapore Standard Time
PNGK,5.749242,115.947534,Singapore Standard Time
SRNT,5.656648,115.897512,Singapore Standard Time
TINO,5.858412,118.07547,Singapore Standard Time
PTSM,5.892041,116.047763,Singapore Standard Time
PNGB,5.76959,115.9644,Singapore Standard Time
MMPS,5.842766,118.09541,Singapore Standard Time
TAIR,5.890188,118.06015,Singapore Standard Time
DAHU,4.26714,117.910381,Singapore Standard Time
TJBL,4.268397,117.875848,Singapore Standard Time
SSLI,5.869989,118.092807,Singapore Standard Time
BOML,4.33931,117.83491,Singapore Standard Time
JWLD,5.02376,118.28366,Singapore Standard Time
KGWS,5.051481,118.32836,Singapore Standard Time
SIMK,4.673195,118.211933,Singapore Standard Time
METI,4.3727,117.8214,Singapore Standard Time
KTAS,4.318443,118.0313,Singapore Standard Time
PWRA,4.3098,118.001,Singapore Standard Time
KLOP,5.04664,118.34239,Singapore Standard Time
KIMA,4.312578,117.83701,Singapore Standard Time
ENTA,1.40589,111.53528,Singapore Standard Time
WASH,4.65677,118.203542,Singapore Standard Time
TMNM,5.005656,118.247239,Singapore Standard Time
BRYN,1.21825,111.48117,Singapore Standard Time
BYUA,1.226177,111.466804,Singapore Standard Time
FUJI,4.26046,117.9015,Singapore Standard Time
LDIM,4.30612,117.88942,Singapore Standard Time
MUKH,2.900222,112.091601,Singapore Standard Time
NESH,4.294,117.89019,Singapore Standard Time
KPTI,4.24278,117.90283,Singapore Standard Time
KNET,4.30486,117.8768,Singapore Standard Time
SGDT,5.010523,118.47537,Singapore Standard Time
UBSD,4.30544,118.06182,Singapore Standard Time
KSRP,5.01828,118.29974,Singapore Standard Time
SRIQ,1.24962,111.45471,Singapore Standard Time
MUKK,2.903161,112.07473,Singapore Standard Time
KLLU,1.2346,111.47053,Singapore Standard Time
SNTO,1.21412,111.46385,Singapore Standard Time
NKUB,2.89253,112.10236,Singapore Standard Time
UGAD,5.619654,115.920781,Singapore Standard Time
MEHM,4.3854,117.76433,Singapore Standard Time
KBUT,4.933822,118.166919,Singapore Standard Time
ADRY,4.28799,117.97523,Singapore Standard Time
TNAP,4.2863,117.903,Singapore Standard Time
HLTP,4.27537,117.88205,Singapore Standard Time
KTGD,4.98248,118.21718,Singapore Standard Time
COWB,4.244012,117.911472,Singapore Standard Time
DABE,3.123568,113.059043,Singapore Standard Time
CORH,4.25859,117.9089,Singapore Standard Time
HARA,4.27725,117.88735,Singapore Standard Time
BLUN,4.26412,117.9556,Singapore Standard Time
MNTS,2.89213,112.089,Singapore Standard Time
SRDD,1.7538,111.34315,Singapore Standard Time
PEWO,1.41619,111.536261,Singapore Standard Time
SPOH,1.399507,111.54162,Singapore Standard Time
MBPO,5.02728,118.41897,Singapore Standard Time
RIA3,4.2802,117.87824,Singapore Standard Time
TLIP,4.265994,117.890755,Singapore Standard Time
BSID,4.26326,118.01436,Singapore Standard Time
WRSN,5.03361,118.37524,Singapore Standard Time
AMN1,5.04018,118.3912,Singapore Standard Time
KBUR,5.037503,118.335303,Singapore Standard Time
SHRU,5.03445,118.36417,Singapore Standard Time
BSPD,5.031169,118.283432,Singapore Standard Time
CKNG,4.417036,117.49385,Singapore Standard Time
CNAK,4.69386,118.2406,Singapore Standard Time
LMAS,4.476944,117.666194,Singapore Standard Time
KUJB,4.677054,118.252671,Singapore Standard Time
POIC,5.02422,118.36578,Singapore Standard Time
SPIT,5.099435,115.56647,Singapore Standard Time
KUNA,4.68534,118.24766,Singapore Standard Time
MERN,5.060185,115.549854,Singapore Standard Time
SIPG,5.083015,115.551058,Singapore Standard Time
RAMT,4.27553,117.8681,Singapore Standard Time
INAA,4.29949,118.169772,Singapore Standard Time
KBPP,4.28138,117.85916,Singapore Standard Time
KTBL,4.392198,117.79077,Singapore Standard Time
TMJC,4.25625,117.92108,Singapore Standard Time
KNUA,5.034851,118.388406,Singapore Standard Time
WKUB,4.294911,118.126985,Singapore Standard Time
BACO,4.36591,118.10107,Singapore Standard Time
TWAI,4.274197,118.059322,Singapore Standard Time
MILT,4.269466,118.003966,Singapore Standard Time
KAOS,4.264387,117.97372,Singapore Standard Time
KTIG,4.249897,117.954868,Singapore Standard Time
TIKS,4.293589,117.950721,Singapore Standard Time
TIND,4.292761,118.00303,Singapore Standard Time
KNBN,4.25195,117.94274,Singapore Standard Time
TMIL,4.27258,117.93094,Singapore Standard Time
PAPU,4.298223,117.85905,Singapore Standard Time
TWAU,4.414195,117.779168,Singapore Standard Time
EASN,4.274764,117.90324,Singapore Standard Time
TGKR,4.28679,117.87243,Singapore Standard Time
TMGD,4.25124,117.93108,Singapore Standard Time
MEJY,4.25125,117.91745,Singapore Standard Time
GUAN,4.259608,117.882883,Singapore Standard Time
MLAN,4.28206,117.91186,Singapore Standard Time
LIMC,4.267586,117.897111,Singapore Standard Time
KUHA,4.285239,117.89479,Singapore Standard Time
GALU,4.28836,117.87902,Singapore Standard Time
SLDT,4.99483,118.55633,Singapore Standard Time
BILD,5.02249,118.44253,Singapore Standard Time
BPAR,5.048229,118.285704,Singapore Standard Time
SPGL,5.012497,118.265391,Singapore Standard Time
JLAG,5.040242,118.345106,Singapore Standard Time
KWOL,5.02322,118.35234,Singapore Standard Time
JGKT,5.0233,118.3269,Singapore Standard Time
MUHB,5.039192,118.296903,Singapore Standard Time
RSRY,5.03407,118.310108,Singapore Standard Time
LEET,5.864037,118.08226,Singapore Standard Time
MAIP,2.306687,111.89693,Singapore Standard Time
BRAM,4.557733,114.055514,Singapore Standard Time
MYYP,4.561529,114.025981,Singapore Standard Time
KDRO,3.247914,113.094526,Singapore Standard Time
DTPR,4.474845,114.037287,Singapore Standard Time
PUJT,4.456795,114.038794,Singapore Standard Time
SLMS,2.26544,111.86692,Singapore Standard Time
TEKC,2.346939,111.843547,Singapore Standard Time
ALAS,2.267536,111.855097,Singapore Standard Time
UPLN,2.254602,111.85222,Singapore Standard Time
KNFR,4.484345,114.008289,Singapore Standard Time
UPMB,3.203835,113.09167,Singapore Standard Time
MLNG,3.275367,113.083431,Singapore Standard Time
WWAN,2.345776,111.82636,Singapore Standard Time
AYSK,3.263361,113.11331,Singapore Standard Time
APOL,2.319563,111.84823,Singapore Standard Time
UYUY,2.298909,111.881719,Singapore Standard Time
PAUT,4.44854,114.00755,Singapore Standard Time
TNGH,2.323944,111.837788,Singapore Standard Time
HSBI,3.22704,113.100219,Singapore Standard Time
PRMJ,4.464436,114.039225,Singapore Standard Time
PRDO,2.23179,111.78759,Singapore Standard Time
TMTN,4.318679,113.994459,Singapore Standard Time
SGMR,2.326246,111.854371,Singapore Standard Time
LNSI,5.846376,118.04292,Singapore Standard Time
LTNG,4.46733,114.0086,Singapore Standard Time
